[2026-06-03 20:48:25,953] INFO [Broker id=1] Leader __consumer_offsets-0 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,958] INFO [Broker id=1] Leader __consumer_offsets-29 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,964] INFO [Broker id=1] Leader __consumer_offsets-25 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,969] INFO [Broker id=1] Leader __consumer_offsets-8 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:25,993] INFO [Broker id=1] Leader __consumer_offsets-37 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,002] INFO [Broker id=1] Leader __consumer_offsets-4 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,015] INFO [Broker id=1] Leader __consumer_offsets-33 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,024] INFO [Broker id=1] Leader __consumer_offsets-15 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,032] INFO [Broker id=1] Leader __consumer_offsets-48 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,051] INFO [Broker id=1] Leader __consumer_offsets-11 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,067] INFO [Broker id=1] Leader __consumer_offsets-44 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,079] INFO [Broker id=1] Leader __consumer_offsets-23 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,086] INFO [Broker id=1] Leader __consumer_offsets-19 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,094] INFO [Broker id=1] Leader __consumer_offsets-32 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,102] INFO [Broker id=1] Leader __consumer_offsets-28 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,122] INFO [Broker id=1] Leader __consumer_offsets-7 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,133] INFO [Broker id=1] Leader __consumer_offsets-40 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,140] INFO [Broker id=1] Leader __consumer_offsets-3 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,150] INFO [Broker id=1] Leader __consumer_offsets-36 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,156] INFO [Broker id=1] Leader __consumer_offsets-47 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,170] INFO [Broker id=1] Leader __consumer_offsets-14 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,176] INFO [Broker id=1] Leader __consumer_offsets-43 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,185] INFO [Broker id=1] Leader test-0 with topic id Some(45TcVl4gSbuxAsz_18YAuQ) starts at leader epoch 8 from offset 7 with partition epoch 8, high watermark 7, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,197] INFO [Broker id=1] Leader __consumer_offsets-10 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,204] INFO [Broker id=1] Leader __consumer_offsets-22 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,215] INFO [Broker id=1] Leader __consumer_offsets-18 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,223] INFO [Broker id=1] Leader __consumer_offsets-31 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,231] INFO [Broker id=1] Leader __consumer_offsets-27 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,237] INFO [Broker id=1] Leader __consumer_offsets-39 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,245] INFO [Broker id=1] Leader __consumer_offsets-6 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,254] INFO [Broker id=1] Leader __consumer_offsets-35 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
[2026-06-03 20:48:26,259] INFO [Broker id=1] Leader __consumer_offsets-2 with topic id Some(5KfgY8G7Qd-F0UwdbaYtZg) starts at leader epoch 8 from offset 0 with partition epoch 8, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 6. (state.change.logger)
